year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,selected_source,coverage_status,price_attribution,price_source_status,terminal_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,membership_exit_next_365d
2014,2014-06-30,AXP,0000004962,cik:0000004962,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,1.5593554925708023e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,6199,False
2014,2014-06-30,AZO,0000866787,cik:0000866787,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,9.706847874269014e-08,False,yahoo,complete,accredited_entity_interval,tier_a,none,1997-01-02,2016-01-01,source_boundary,5531,False
2014,2014-06-30,BA,0000012927,cik:0000012927,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,9.77450448353956e-07,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,3721,False
2014,2014-06-30,BAC,0000070858,cik:0000070858,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,0.00033708146091553814,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,6021,False
2014,2014-06-30,BAX,0000010456,cik:0000010456,confirmed_by_multiple_evidence,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,divergent_overlap,0.007006283322984921,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,3841,False
2014,2014-06-30,BBBY,0000886158,cik:0000886158,corroborated_candidate,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,1999-10-01,2016-01-01,source_boundary,5700,False
2014,2014-06-30,BBT,0000092230,cik:0000092230,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,divergent_overlap,0.03226208595459761,False,yahoo,complete,accredited_entity_interval,tier_a,none,1997-12-04,2016-01-01,source_boundary,6021,False
2014,2014-06-30,BBY,0000764478,cik:0000764478,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,4.155151527023284e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1999-06-30,2016-01-01,source_boundary,5731,False
2014,2014-06-30,BCR,0000009892,cik:0000009892,confirmed_by_multiple_evidence,253,0,,,253,2013-06-28,2014-06-30,0,insufficient_overlap,,False,,archive_evidence_missing,legacy_symbol_unattributed,excluded,none,1996-01-02,2016-01-01,source_boundary,3841,False
2014,2014-06-30,BDX,0000010795,cik:0000010795,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.769151546896389e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,3841,False
2014,2014-06-30,BEN,0000038777,cik:0000038777,corroborated_candidate,253,253,2013-06-28,2014-06-30,253,2013-06-28,2014-06-30,252,consistent_overlap,2.9134508810324546e-06,False,yahoo,complete,accredited_entity_interval,tier_a,none,1998-04-29,2016-01-01,source_boundary,6282,False
2014,2014-06-30,BF-B,0000014693,cik:0000014693,corroborated_candidate,253,253,2013-06-28,2014-06-30,0,,,0,insufficient_overlap,,False,yahoo,complete,accredited_entity_interval,tier_a,none,1996-01-02,2016-01-01,source_boundary,2080,False
2014,2014-06-30,BHGE,,,,253,0,,,0,,,0,insufficient_overlap,,False,,identity_unresolved,legacy_symbol_unattributed,excluded,none,1996-01-02,2016-01-01,source_boundary,,False
